id,original_question,supplement_query_1,supplement_query_2,supplement_query_3
1,"Đi xe máy không đội mũ bảo hiểm bị phạt bao nhiêu?","Hành vi người điều khiển xe mô tô xe gắn máy không đội mũ bảo hiểm khi tham gia giao thông","Mức phạt tiền đối với người đi xe máy không đội mũ bảo hiểm hoặc đội mũ không cài quai đúng quy cách","Hình phạt bổ sung hoặc biện pháp xử lý đối với lỗi không đội mũ bảo hiểm khi điều khiển xe máy"
2,"Người ngồi sau xe máy không đội mũ bảo hiểm thì ai bị xử phạt?","Trách nhiệm xử phạt người điều khiển xe máy chở người ngồi sau không đội mũ bảo hiểm","Hành vi chở người trên xe mô tô xe gắn máy không đội mũ bảo hiểm theo quy định giao thông","Đối tượng bị xử phạt khi người được chở trên xe máy không đội mũ bảo hiểm hoặc không cài quai đúng quy cách"
3,"Chở trẻ em trên xe máy không đội mũ bảo hiểm có bị phạt không?","Quy định xử phạt người điều khiển xe máy chở trẻ em không đội mũ bảo hiểm","Trường hợp ngoại lệ trẻ em dưới 6 tuổi không đội mũ bảo hiểm khi ngồi trên xe máy","Mức phạt đối với hành vi chở người trên xe mô tô không đội mũ bảo hiểm và điều kiện áp dụng với trẻ em"
4,"Xe máy vượt đèn đỏ bị xử phạt thế nào?","Hành vi xe mô tô không chấp hành hiệu lệnh của đèn tín hiệu giao thông","Mức phạt tiền đối với người điều khiển xe máy vượt đèn đỏ","Hình phạt bổ sung trừ điểm hoặc tước giấy phép lái xe khi xe máy vượt đèn đỏ gây tai nạn"
5,"Ô tô vượt đèn đỏ bị phạt bao nhiêu?","Hành vi người điều khiển ô tô không chấp hành hiệu lệnh của đèn tín hiệu giao thông","Mức phạt tiền đối với ô tô vượt đèn đỏ tại nút giao thông","Hình phạt bổ sung tước giấy phép lái xe hoặc trừ điểm giấy phép đối với ô tô vượt đèn đỏ"
6,"Không chấp hành hiệu lệnh của cảnh sát giao thông bị xử lý ra sao?","Hành vi không chấp hành hiệu lệnh hướng dẫn điều khiển giao thông của người kiểm soát giao thông","Mức phạt đối với xe máy hoặc ô tô không tuân thủ hiệu lệnh của cảnh sát giao thông","Hình phạt bổ sung đối với lỗi không chấp hành hiệu lệnh của người điều khiển giao thông"
7,"Không chấp hành biển báo giao thông bị phạt thế nào?","Hành vi không chấp hành hiệu lệnh chỉ dẫn của biển báo hiệu đường bộ","Mức phạt tiền đối với người điều khiển phương tiện không tuân thủ biển báo giao thông","Quy định xử phạt xe máy ô tô đi sai theo biển báo cấm biển hiệu lệnh biển chỉ dẫn"
8,"Đi ngược chiều trên đường một chiều bị xử phạt ra sao?","Hành vi đi ngược chiều trên đường một chiều hoặc đường có biển cấm đi ngược chiều","Mức phạt tiền đối với xe máy ô tô đi ngược chiều trên đường một chiều","Hình phạt bổ sung khi đi ngược chiều gây tai nạn giao thông"
9,"Xe máy đi vào đường cấm bị phạt bao nhiêu?","Hành vi xe mô tô đi vào khu vực cấm đường có biển báo cấm phương tiện","Mức phạt tiền đối với người điều khiển xe máy đi vào đường cấm","Hình phạt bổ sung đối với xe máy đi vào đường cấm gây tai nạn hoặc vi phạm biển báo cấm"
10,"Ô tô đi vào đường cấm bị xử phạt thế nào?","Hành vi ô tô đi vào đường cấm khu vực cấm theo biển báo hiệu đường bộ","Mức phạt tiền đối với người điều khiển xe ô tô đi vào đường có biển cấm ô tô","Hình phạt bổ sung tước hoặc trừ điểm giấy phép lái xe khi ô tô đi vào đường cấm"
11,"Lỗi chuyển làn không có tín hiệu báo trước bị phạt bao nhiêu?","Hành vi chuyển làn đường không có tín hiệu báo trước khi điều khiển phương tiện","Mức phạt tiền đối với xe máy ô tô chuyển làn không bật tín hiệu báo rẽ","Quy định xử phạt chuyển làn không đúng nơi cho phép hoặc không báo hiệu trên đường cao tốc"
12,"Không bật xi nhan khi rẽ có bị xử phạt không?","Hành vi chuyển hướng không có tín hiệu báo hướng rẽ theo quy định giao thông","Mức phạt tiền đối với xe máy ô tô rẽ trái rẽ phải không bật đèn tín hiệu","Quy định xử phạt không báo hiệu khi chuyển hướng gây mất an toàn giao thông"
13,"Không nhường đường cho xe ưu tiên bị phạt thế nào?","Hành vi không nhường đường hoặc gây cản trở xe được quyền ưu tiên đang phát tín hiệu ưu tiên","Mức phạt tiền đối với người điều khiển phương tiện không nhường đường cho xe ưu tiên","Hình phạt bổ sung khi không nhường đường cho xe ưu tiên gây tai nạn giao thông"
14,"Người đi bộ vượt đèn đỏ có bị xử phạt không?","Hành vi người đi bộ không chấp hành hiệu lệnh của đèn tín hiệu giao thông","Mức phạt tiền đối với người đi bộ vượt đèn đỏ tại nơi giao nhau","Quy định xử phạt người đi bộ vi phạm tín hiệu đèn và phần đường dành cho người đi bộ"
15,"Người đi bộ đi sai phần đường bị xử lý như thế nào?","Hành vi người đi bộ không đi đúng phần đường quy định hoặc đi vào phần đường của xe cơ giới","Mức phạt tiền đối với người đi bộ đi sai phần đường vạch qua đường cầu vượt hầm dành cho người đi bộ","Quy định xử phạt người đi bộ gây cản trở giao thông do đi không đúng nơi quy định"
16,"Điều khiển xe máy bằng một tay có bị phạt không?","Hành vi buông cả hai tay hoặc điều khiển xe mô tô bằng một tay khi tham gia giao thông","Mức phạt đối với người điều khiển xe máy sử dụng chân chống vật khác hoặc điều khiển không đúng tư thế","Hình phạt bổ sung đối với hành vi điều khiển xe máy gây mất an toàn như lạng lách đánh võng buông tay"
17,"Sử dụng điện thoại khi đang lái xe máy bị phạt bao nhiêu?","Hành vi người điều khiển xe máy sử dụng điện thoại di động khi đang điều khiển phương tiện","Mức phạt tiền đối với xe mô tô xe gắn máy dùng điện thoại khi tham gia giao thông","Hình phạt bổ sung trừ điểm hoặc tước giấy phép lái xe khi sử dụng điện thoại lúc lái xe máy"
18,"Tài xế ô tô dùng điện thoại khi lái xe bị xử phạt thế nào?","Hành vi người điều khiển ô tô dùng tay cầm và sử dụng điện thoại khi đang lái xe","Mức phạt tiền đối với tài xế ô tô sử dụng điện thoại di động khi điều khiển xe","Hình phạt bổ sung đối với ô tô dùng điện thoại khi lái xe gây tai nạn giao thông"
19,"Không thắt dây an toàn khi ngồi trên ô tô có bị phạt không?","Hành vi người điều khiển hoặc người ngồi trên ô tô không thắt dây an toàn tại vị trí có trang bị dây an toàn","Mức phạt tiền đối với tài xế ô tô không thắt dây an toàn khi xe đang chạy","Mức phạt đối với người được chở trên ô tô không thắt dây an toàn theo quy định"
20,"Chở quá số người quy định trên ô tô bị xử lý ra sao?","Hành vi chở người vượt quá số người được phép chở trên xe ô tô chở khách","Mức phạt tiền đối với lái xe ô tô chở quá số người quy định theo từng số người vượt quá","Biện pháp khắc phục hậu quả đối với xe ô tô chở quá số người quy định"
